,0,1
0,53.144463,54.174534
1,53.317856,54.48685
2,55.486504,56.743553
3,59.40042,60.694225
4,62.061836,63.34119
5,60.878395,61.982494
6,64.63419,65.98069
7,60.15618,61.216408
8,54.865555,56.082767
9,57.3758,58.531574
10,55.45809,56.587597
11,61.335518,62.37109
12,56.191437,57.32526
13,60.88364,62.119183
14,59.45655,60.653
15,54.011543,55.26096
16,54.90975,56.155483
17,61.232533,62.457134
18,42.2967,43.245117
19,38.71027,39.533344
20,58.649166,59.74496
21,50.72064,51.852833
22,57.52804,58.548992
23,56.97611,58.06044
24,56.090935,57.307472
25,58.05938,59.35487
26,55.342674,56.231964
27,62.880863,63.97859
28,60.001102,61.128616
29,51.484688,52.550014
30,53.270042,54.380596
31,63.463318,64.70813
32,56.04665,57.350803
33,51.852444,53.125355
34,48.985092,50.09721
35,52.443176,53.637207
36,57.045773,58.127743
37,45.2475,46.230194
38,57.36086,58.621063
39,59.151543,60.335728
40,58.8335,59.761723
41,65.119774,66.24213
42,54.417385,55.581238
43,49.589966,50.616505
44,55.59054,56.835945
45,45.71128,46.694042
46,58.554176,59.5815
47,54.69186,55.897465
48,64.01878,65.270134
49,61.88507,62.946285
50,53.31693,54.530605
51,41.888958,42.87079
52,48.428265,49.53924
53,54.28315,55.15478
54,56.062725,57.007015
55,47.307266,48.240635
56,54.553474,55.786823
57,38.418877,39.172176
58,59.20979,60.388252
59,59.944145,61.08951
60,56.830193,58.000874
61,59.610153,60.79439
62,54.259743,55.123875
63,56.731377,57.964764
64,57.27428,58.503918
65,56.576862,57.77371
66,50.61258,51.775455
67,55.22685,56.371243
68,55.81935,56.93791
69,52.01778,52.961426
70,59.645004,60.881165
71,55.609802,56.76682
72,53.37679,54.545002
73,47.76063,48.93227
74,59.011276,60.170544
75,50.588585,51.769753
76,45.407776,46.39826
77,55.717854,56.760914
78,56.410744,57.697807
79,59.280235,60.57507
80,55.580357,56.549274
